22~12~1~Kalatchev S. - travel kora sound (Elyne Road);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  f 349;;  f;;;;;;  f;;;;;;;;;;;;;;  f;;;;;;;;;;;;  f;;;;  f;;;;;;;;;;;;;;;;  f;;;;;;;;;;;;  f;;;;;;;;;;;;  f;;;;;;;;;;;;;;;;;;  f;;;;;;  f;;;;;;;;;;;;  f;;;;;;;;;;;;;  f;;;;;;;;;;;;;;;;;;;;;;  f;;;;;;  f;;;;;;;;;;;;;;  f;;;;;;;;;;;;;  f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  f;;;;;;;;;;;;  f;;;;;;;;
  E 329;;;;;;;;;;;;;;  E;;;;;;  E;;;;;;;;;;;;  E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  E;;;;;;;;;  E;;;;;;;;;;;;;;;;;;;;;;;;;;  E;;;;;;;;;;;;;  E;;;;;;;;;  E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  E;;;;;;;;;;;;;;  E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  E;;;;;;;;;  E;;;;;;;;;
  D 293;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;  D;;;;;;;;;;
  C 261;;;;;;  C;;;;;;;;;;;;  C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  C;;;;;;;;;;  C;;;;;;;;;;;;  C;;;;;;;;;;;;;;;;;;;;  C;;;;;;;;;;;;;  C;;;;;;;;;;;;;;;  C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  C;;;;;;;;;;;;  C;;;;;;;;;;;;  C;;;;;;;;;  C;;;;;  C;;;;  C;;;;  C;;;;  C;;;;;;;;;;;;  C;;;;;;;;;;;;  C;;;;;;;;;  C;;;
  B 246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  A 220;;;;;;;;;;;;;;;;  A;;;;;;;;;;;;  A;;;;;;;;;;;;;;  A;;;;  A;;;;;;;;;;;;;;  A;;;;;;;;;;;;  A;;;;;;;;;;;;;;  A;;;;  A;;;;;;;;;;;;;;;  A;;;;;;;;;;;;;;;  A;;;;;;;;;;;;;;;  A;;;;  A;;;;;;;;;;;;;;;;;;;;;;;;  A;;;;;;;;;;;;  A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  A;;;;;;;;;;;;  A;;;;;;;;;;;;;;
  G 196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  F 174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  F;;;;  F;;;;  F;;  F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  F;;;;  F;;;;  F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  F;;;;  F;;;;  F;;;;;;;;;;  F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  F;;;;  F;;;;  F;;;;  F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  F;
  E 164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  D 146;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  D;;;;;;;;;;;;;;;;
  C 130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  B 123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  F  87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  F;
